,CODE,UNITNAME,DESCRIPTN,lithos,distance,GROUP_,FORMATION,MEMBER,BED,LITHNAME1,LITHNAME2,ROCKTYPE1,ROCKTYPE2
3035,A-mw-YYO,Youanmi Terrane greenstones,"Metamorphosed mafic igneous rock, undivided","mafic,",14056.203881666637,,,,,metamafic rock,,meta-igneous mafic,
6860,A-mwa-YNA,Narryer Terrane greenstones,"Amphibolite; fine- to medium-grained, aphyric hornblende--plagioclase rock and medium-grained porphyritic hornblende--plagioclase rock; locally includes metagabbro and metaleucogabbro","amphibolite,gabbro,leucogabbro,metagabbro,metaleucogabbro",217447.81017750222,,,,,amphibolite,,meta-igneous mafic,
3522,A-mwa-YSW,South West Terrane greenstones,Amphibolite,"amphibolite,",112873.23348476157,,,,,amphibolite,,meta-igneous mafic,
3622,A-o-YYO,Youanmi Terrane greenstones,Mafic intrusive rock dominant; metamorphosed,"mafic,",2326.5534336909213,,,,,,,igneous mafic intrusive,
4212,A-s-YYO,Youanmi Terrane greenstones,Clastic sedimentary rock dominant; metamorphosed,"sedimentary rock,",0.0,,,,,,,sedimentary siliciclastic,
14303,A-xmgn-g-YNA,Narryer Terrane metagranitic unit,"Granitic gneiss and granitic rocks; minor granodiorite, muscovite granite, amphibolite, and ultramafic rocks","gneiss,granitic rock,amphibolite,diorite,granite,granodiorite,mafic,ultramafic",207479.31845839263,,,,,granitic gneiss,,meta-igneous felsic intrusive,igneous granitic
4429,A-xmgs-mb-Y,Yilgarn Craton granites,"Foliated metagranitic rock with interleaved minor metamorphosed mafic, ultramafic, and local sedimentary rocks","granitic rock,mafic,mafic,sedimentary rock,ultramafic",101948.06177250874,,,,,granitic schist,metamafic volcanic rock,meta-igneous felsic intrusive,meta-igneous mafic volcanic
8082,A-xmno-mni-YSW,South West Terrane greenstones,Granulite and migmatite,"granulite,migmatite,",134106.14105333088,,,,,gneissose granulite,migmatitic gneiss,metamorphic protolith unknown: gneiss,metamorphic protolith unknown: gneiss
4832,AP_-myyf-YSW,South West Terrane cataclasite,Mylonite and gneiss; derived from Archean and Proterozoic deformation of Archean rocks; adjacent to Darling Fault,"gneiss,",205598.19460847805,,,,,mylonite,,metamorphic protolith unknown: fault rock,
5619,CP-_na-sepg,Nangetty Formation,"Diamictite, shale (locally varvoid), conglomerate, sandstone","diamictite,conglomerate,sandstone,shale",99038.51625886768,,Nangetty Formation,,,diamictite + other siliciclastic,,sedimentary siliciclastic,
3519,J-_cd-sf,Cadda Formation,"Grey shale, siltstone and sandstone; scattered carbonate lenses","shale,carbonate,sandstone,siltstone",130904.29875537172,,Cadda Formation,,,siltstone + sandstone,,sedimentary siliciclastic,
3525,J-_cm-slh,Cattamarra Coal Measures,"Carbonaceous siltstone, shale, claystone, coal, sandstone","siltstone,claystone,sandstone,shale",117569.60146478776,,Cattamarra Coal Measures,,,siltstone/mudstone,,sedimentary siliciclastic,
6654,J-_en-ss,Eneabba Formation,Interbedded red-bed sandstone and siltstone,"sandstone,siltstone,",115417.63369955884,,Eneabba Formation,,,sandstone + siltstone,,sedimentary siliciclastic,
2821,J-_ya-st,Yarragadee Formation,"Fine- to coarse-grained sandstone, thin shale interbeds","sandstone,shale",125821.55662051664,,Yarragadee Formation,,,sandstone,,sedimentary siliciclastic,
2815,JK-PA-st,Parmelia Group,Predominantly sandstone; most formations recognized only in subsurface,"sandstone,",119928.99450479184,Parmelia Group,,,,sandstone,,sedimentary siliciclastic,
5617,JK-PAo-sfl,Otorowiri Formation,"Micaceous siltstone, shale, minor glauconitic sandstone","siltstone,sandstone,shale",125128.3945557021,Parmelia Group,Otorowiri Formation,,,siltstone + sandstone,,sedimentary siliciclastic,
488,K-CY-xk-s,Coolyena Group,"Chalk, greensand, glauconitic sandstone, siltstone, marl; characteristically glauconitic","sandstone,siltstone",134135.78013500915,Coolyena Group,,,,,,sedimentary carbonate,sedimentary siliciclastic
