UNITNAME,DESCRIPTN,MAX_AGE_MA,MIN_AGE_MA,DESCRIPTN_DH2LOOP,DH2LOOP_SCORE
Burtville Terrane greenstones,Amphibolite,2960.0,2660.0,"basalt, ferruginous_deposits, chert, ultramafic_rock, mafic, conglomerate, coarse_grained_ultramafic_rock, gabbroid, monzogranite, mudstone, peridotite, volcaniclastic_mud, mud, gabbro, vein, pyroxenite, andesite, coarse_grained_plutonic_crystalline_igneous_rock, ultrabasic_volcanic_rock, schist, sandstone, dolerite, granitoid, granite, gneiss, serpentinite, amphibolite, felsic, bituminous_coal, sedimentary_rock, siliciclastic_sediment, iron_sediment, talc_rock, slate",101
Butcher Bird Monzogranite,Fine- to medium-grained monzogranite; typically granophyric; metamorphosed,2730.0,2730.0,"monzogranite,granodiorite","101,61"
Byro Group  lower,"Fine-grained, bioturbated sandstone overlying interbedded sandstone, siltstone, and mudstone",286.0,272.3,"sandstone,sandstone,mudstone,mudstone","100,101,101,101"
Byro Group  middle,Black shale and siltstone overlain by fine-grained sandstone; hummocky and swaley cross-stratified,283.5,272.3,"mudstone,mudstone,sandstone","101,101,101"
Byro Group  upper,"Intercalated siltstone, shale, and sandstone",283.5,272.3,"mudstone,mudstone,sandstone","101,101,101"
Cadda Formation,"Grey shale, siltstone and sandstone; scattered carbonate lenses",170.3,166.1,"mudstone,mudstone,sandstone,carbonate","101,101,101,100"
Cadjebut Formation,"Siltstone, shale, dolomite, evaporites (leached in outcrop), and sandstone",387.7,382.7,"mudstone,mudstone,dolostone,evaporite,sandstone","101,101,101,101,101"
Caines Monzogranite,Biotite(--hornblende) monzogranite; foliated; local xenoliths of granitic gneiss; metamorphosed,2990.0,2990.0,"monzogranite,gneiss","101,101"
Callawa Formation,"Very fine-grained to coarse-grained sandstone, and conglomerate",145.0,113.0,"sandstone,conglomerate","101,101"
Callina Supersuite,Metadiorite to metasyenogranite; massive to gneissic,3484.0,3462.0,"diorite,syenogranite,gneiss","101,101,86"
Callytharra Formation,"Fossiliferous, calcareous siltstone to calcisiltite; interbedded, hard, fossiliferous calcarenite",295.0,290.1,"siliceous_ooze,mudstone,calcilutite,calcarenite","59,101,87,101"
Cambrian--Ordovician sedimentary rocks  Ord Basin,"Sandstone, siltstone, limestone",510.0,470.0,"sandstone,mudstone,limestone","101,101,101"
Cambrian--Ordovician sedimentary siliciclastic units  Amadeus Basin,"Siltstone and mudstone, sandstone, conglomerate, minor dolomite, shallow marine to fluvial",541.0,443.4,"mudstone,mudstone,sandstone,conglomerate,dolostone,alluvium","101,101,101,101,101,80"
Camel Hills Metamorphics,"Pelite, calc-silicate rock, quartzite, metamorphosed banded iron-formation and amphibolite",2001.0,1955.0,"mudstone,fine_crystalline_sedimentary,quartzite,amphibolite","101,101,101,101"
Campbell Well Granodiorite,Biotite granodiorite; medium to coarse grained; foliated; weakly metamorphosed,3310.0,3310.0,granodiorite,101
Capricorn Group,"Ferruginous lithic and dolomitic quartz sandstone, ferruginous siltstone and mudstone, conglomerate, dolostone, and felsic volcanic rock",1804.0,1738.0,"ferruginous_deposits,sandstone,mudstone,mudstone,conglomerate,dolostone,felsic","68,101,101,101,101,100,000"
Capricorn Orogen metamorphosed mafic intrusive unit,Metadolerite; massive to schistose,2500.0,1600.0,"dolerite,schist","101,80"
Carawine Dolomite,"Massive- to well-bedded, recrystallized dolomite, and stromatolitic dolomite; minor chert",2629.0,2504.0,"dolostone,dolostone,chert","101,101,101"
Carbana Monzogranite,Biotite monzogranite; feldspar porphyritic; common mafic xenoliths; weakly metamorphosed,3317.0,3310.0,"monzogranite,metasomatic_rock,mafic","101,59,100"
Carboniferous sedimentary rocks  Southern Carnarvon Basin,"Limestone, dolomite, sandstone, siltstone; lesser conglomerate",358.9,298.9,"limestone,dolostone,sandstone,mudstone,conglomerate","101,101,101,101,101"
Cardinal Formation,"Black shale with minor siltstone; local banded iron-formation, chert, sandstone, and conglomerate; metamorphosed",3228.0,3176.0,"mudstone,mudstone,bituminous_coal,chert,sandstone,conglomerate","101,101,78,101,101,101"
Cardup Group,"Predominantly white to black shale with bands of conglomerate, quartz sandstone, and sandstone",1600.0,541.0,"mudstone,conglomerate,sandstone,sandstone","101,101,101,101"
Carlton Group,"Sandstone, siltstone, shale, and stromatolitic dolomite",508.0,470.0,"sandstone,mudstone,mudstone,dolostone","101,101,101,101"
Carnegie Formation,"Quartz wacke, sandstone, siltstone, shale",635.0,510.0,"wacke,sandstone,mudstone,mudstone","101,101,101,101"
Carr Boyd Group,"Sandstone, ferruginous sandstone, siltstone, and mudstone",1200.0,1177.0,"sandstone,sandstone,mudstone,mudstone","101,101,101,101"
Carranya Formation,Sandstone and polymictic conglomerate; fossiliferous,485.4,470.0,"sandstone,conglomerate,siliceous_ooze","101,101,59"
Carrington Suite,Weakly porphyritic to equigranular biotite metagranite,1779.0,1767.0,granite,101
Carson Volcanics,"Massive and amygdaloidal basalt and basaltic volcaniclastic rock; interbedded quartz sandstone, feldspathic sandstone, siltstone, and chert",1835.0,1797.0,"basalt,volcaniclastic_breccia,sandstone,sandstone,mudstone,chert","101,73,101,101,101,101"
Carynginia Formation,"Micaceous siltstone and quartz sandstone, minor granule to pebble conglomerate, limestone",286.0,272.3,"mudstone,sandstone,gravel,conglomerate,limestone","101,101,93,101,101"
Cassidy Group,Massive to vesicular and amygdaloidal basalt and porphyritic rhyolite; locally common volcanolithic conglomerate and sandstone,1077.0,1047.0,"basalt,rhyolite,conglomerate,sandstone","101,101,101,101"
Cattamarra Coal Measures,"Carbonaceous siltstone, shale, claystone, coal, sandstone",201.3,166.1,"mudstone,mudstone,mudstone,coal,sandstone","101,101,101,101,101"
Cattle Well Formation,"Sandstone, siltstone, shale, and wacke; minor felsic volcaniclastic rocks; local chert replacing stromatolitic carbonate rocks; metamorphosed",2988.0,2988.0,"sandstone,mudstone,mudstone,wacke,felsic,carbonate","101,101,101,101,100,000"
Charteris Basalt,"Basalt and basaltic komatiite; minor dolerite sills, chert and felsic volcanic rocks; metamorphosed",3325.0,3315.0,"basalt,kalsilitic_rock,dolerite,chert,felsic","101,101,100,101,100"
Chatarie Well Granite,Coarse-grained monzogranite; metamorphosed,2698.0,2698.0,monzogranite,101
Cheearra Monzogranite,Metamonzogranite; weakly to strongly foliated; locally well-developed banding; includes pegmatite and granite dykes,2937.0,2933.0,"monzogranite,pegmatite,granite","101,101,100"
Cheela Springs Basalt,"Amygdaloidal basalt and minor volcaniclastic rock; immature sandstone, siltstone, and mudstone; intruded by Balgara Dolerite sills",2208.0,2031.0,"basalt,volcaniclastic_mud,sandstone,mudstone,mudstone,dolerite","101,74,101,101,101,100"
Chessman Granodiorite,Metamorphosed biotite granodiorite and metatonalite; medium to coarse grained; strongly foliated to gneissic,3318.0,3314.0,"granodiorite,tonalite,gneiss","101,101,86"
Chester Formation,"Pelite with minor psammite and psephite; minor metamorphosed felsic volcanic and volcaniclastic rocks, and banded iron-formation",3131.0,2958.0,"mudstone,sandstone,tephrite,felsic,volcaniclastic_mud,bituminous_coal","101,86,75,100,74,71"
Chiall Formation,"Sandstone and siltstone, minor conglomerate; glauconitic in lower part",1876.0,1650.0,"sandstone,mudstone,conglomerate,glaucophanite","101,101,101,56"
Chillerina Granodiorite,Hornblende biotite granodiorite to K-feldspar porphyritic monzogranite; massive to moderately foliated; weakly metamorphosed,2946.0,2945.0,"granodiorite,monzogranite","101,101"
