UNITNAME,DESCRIPTN,MAX_AGE_MA,MIN_AGE_MA,DESCRIPTN_DH2LOOP,DH2LOOP_SCORE
Munarra Monzogranite,"monzogranite, granodiorite, diorite, microgranite",2670.0,2670.0,"microgranite, monzogranite, diorite, granodiorite",-1
Mundadjini Formation,"Sandstone, siltstone, and minor conglomerate, shale, mudstone, and dolomite (locally stromatolitic); evaporite pseudomorphs",850.0,720.0,"sandstone,mudstone,conglomerate,mudstone,mudstone,dolostone,evaporite","101,101,101,101,101,000,000"
Mundine Well Dolerite Suite,"Dolerite dykes, sills, and small intrusions with locally abundant xenoliths and potassic alteration of wallrocks; includes minor quartz diorite, syenite, tonalite, and biotite monzogranite",755.0,755.0,"dolerite,mud,coarse_grained_plutonic_crystalline_igneous_rock,adamellite,ultrapotassic_rock,diorite,syenite,tonalite,monzogranite","100,75,69,56,68,101,101,101,101"
Munganbrina Monzogranite,"Monzogranite; banded, medium to coarse grained; locally seriate to porphyritic; weakly foliated and metamorphosed",3310.0,3310.0,"monzogranite,bituminous_coal","101,71"
Mungarinya Monzogranite,Feldspar(--quartz) porphyritic biotite monzogranite; massive to weakly foliated; locally well developed flow alignment of phenocrysts and schlieren; locally ghost banded; weakly metamorphosed,2938.0,2938.0,"monzogranite,clinker,chert","101,62,67"
Mungaroona Granodiorite,Hornblende--biotite granodiorite and minor biotite monzogranite; metamorphosed,2945.0,2945.0,"granodiorite,monzogranite","101,101"
Munglinup Gneiss,Granitic gneiss interlayered with mafic amphibolite; includes intrusions of Paleoproterozoic granitic rocks,2700.0,1600.0,"mafic, intermediate_plutonic_rock, gabbro, granite, gneiss, amphibolite","101,101,48"
Munkayarra Shale,Claystone and shale,247.2,201.3,"mudstone,mudstone","101,101"
Munni Munni Intrusion,"Gabbro, leucogabbro, serpentinized peridotite and dunite, pyroxenite, and minor anorthosite; metamorphosed",2925.0,2924.0,"gabbro,dolerite,peridotite,dacite,pyroxenite,anorthosite","101,73,101,80,101,101"
Munyu Sandstone,Quartz sandstone and conglomerate,1000.0,810.0,"sandstone,conglomerate","101,101"
Murchison Supergroup,Pyroxene spinifex-textured basalt and local basalt; locally variolitic; metamorphosed,3000.0,2700.0,"basalt, coarse_grained_plutonic_crystalline_igneous_rock, schist, volcaniclastic_mud, ultramafic_rock, felsic, mafic, siliciclastic_sediment, aeolinite","101,101"
Murrouli Basalt,Metabasalt and metakomatiitic basalt,2825.0,2800.0,"basalt,basalt","101,101"
Musgrave Province metagranitic unit,Metagranite; undivided,1220.0,995.0,granite,101
Musgrave Province metamorphic unit,Fault breccia,1085.0,541.0,"gneiss, felsic, breccia, mylonite",101
Myanna Leucogranite,Biotite--muscovite monzogranite; locally with quartz and K-feldspar phenocrysts; massive to weakly foliated,2851.0,2831.0,"monzogranite,vein","101,101"
Mystery Monzogranite,"Fine-grained, equigranular biotite monzogranite",2650.0,2650.0,monzogranite,101
Nadarra Formation,"Silty micritic limestone; includes minor calcrete; muddy, commonly silicified; lacustrine; may extend into Pleistocene",5.333,2.58,"limestone,calcrete,mud,halite_stone,limestone","101,101,75,80,70"
Nallana Formation,"Basalt with minor ultramafic, felsic, and sedimentary units; metamorphosed",3130.0,3128.0,"basalt,ultramafic_rock,felsic,sediment","101,80,101,84"
Nandingarra Granodiorite,Biotite--hornblende granodiorite to tonalite; equigranular; contains inclusions of Tambina Supersuite tonalite; metamorphosed,3313.0,3300.0,"granodiorite,tonalite,tonalite","101,101,101"
Nangetty Formation,"Diamictite, shale (locally varvoid), conglomerate, sandstone",323.2,290.1,"diamictite,mudstone,conglomerate,sandstone","101,101,101,101"
Nannine Tonalite,tonalite,2787.0,2782.0,tonalite,-1
Nanutarra Formation,"Sandstone, siltstone, lesser pebble to cobble conglomerate; texturally immature",145.0,113.0,"sandstone,mudstone,gravel,conglomerate","101,101,92,101"
Nanutarra Formation and Yarraloola Conglomerate,"Poorly sorted sandstone (in places glauconitic), cobble to boulder conglomerate, and siltstone",145.0,113.0,"sandstone,gravel,conglomerate,mudstone","101,92,101,101"
Narimbunna Dolerite,Dolerite and gabbro sills intruded into Edmund Group,1465.0,1449.0,"dolerite,gabbro","101,100"
Narndee Igneous Complex,"dolerite, gabbro",2799.0,2799.0,"pyroxenite, dolerite, gabbro, anorthosite, dacite",-1
Narndee Igneous Complex  lower zone,serpentinite,2799.0,2799.0,"pyroxenite, gabbroid, peridotite, serpentinite",-1
Narndee Igneous Complex  middle zone,"leucogabbronorite, gabbronorite",2799.0,2799.0,"pyroxenite, gabbronorite, foid_gabbroid, serpentinite, gabbroid, leucogabbronorite, anorthosite",-1
Narndee Igneous Complex  ultramafic zone,dunite,2799.0,2799.0,"pyroxenite, serpentinite, hornblendite, peridotite, dunite",-1
Narracoota Formation,"Basalt, locally pillowed and plagioclase-phyric, and mafic--ultramafic schist; interbedded with volcaniclastic and sedimentary rocks; metamorphosed",2014.0,1920.0,"basalt,schist,volcaniclastic_mud,iron_sediment","101,101,88,67"
Narryer Terrane granitic unit,granite,3731.0,2608.0,"granite, granitoid",-1
Narryer Terrane greenstones,ultramafic rock,3100.0,2700.0,"basalt, ultramafic_rock, mafic, quartzite, granulite, peridotite, gabbro, hornblende_rock, schist, sandstone, dolerite, till, gneiss, felsic, ultramaficrock, pisolith, mudstone, creep, amphibolite",-1
Narryer Terrane metagranitic unit,gneiss,3731.0,3292.0,"granodiorite, basaltoid, monzogranite, ultramafic_rock, syenogranite, pegmatite, granitoid, granite, gneiss, amphibolite",-1
Neoproterozoic sedimentary rocks  western Amadeus Basin,"Siltstone, carbonate, diamictite and sandstone; includes several formations of the western Amadeus Basin",810.0,541.0,"mudstone,carbonate,diamictite,sandstone","101,101,101,101"
Neoproterozoic--Cambrian sedimentary rocks  Amadeus Basin,"Sandstone, minor siltstone and conglomerate",850.0,485.4,"sandstone,mudstone,conglomerate","101,101,101"
Nerrely Leucogranite,Biotite(--tourmaline)-bearing leucogranite; undeformed,2765.0,2765.0,syenogranite,75
Ngarrutji Monzogranite,Medium- to coarse-grained monzogranite with biotite and local hornblende; minor granodiorite and local pegmatite; metamorphosed,2666.0,2666.0,"monzogranite,micaite,hornblende_rock,granodiorite,pegmatite","101,88,77,101,101"
Nickol River Formation,"Quartzose sandstone, conglomerate, breccia, carbonate rocks, chert, and banded-iron formation; local felsic volcanic and intrusive rocks; metamorphosed",3220.0,3160.0,"sandstone,conglomerate,breccia,carbonate,chert,banded_iron_formation,felsic,coarse_grained_plutonic_crystalline_igneous_rock","101,101,101,100,101,78,100,100"
Nilling Formation,"Fine- to very coarse-grained sandstone; variably pebbly, micaceous and silty",1600.0,1091.0,"sandstone,micaite,mud","101,62,89"
Ninety Seven Mile Formation and Elimberrie Formation,"Sandstone, diamictite, siltstone, limestone, phyllite, quartzite, metabasalt, metatuff, and metarhyolite",1000.0,541.0,"sandstone,diamictite,mudstone,limestone,phyllite,quartzite,basalt,tuff,rhyolite","101,101,101,101,101,000,000,000,000"
Ningbing Group,"Limestone reef complexes; cyanobacterial limestone, limestone breccia, shale, and sandstone",372.2,358.9,"complex,limestone,breccia,mudstone,sandstone","101,101,101,101,101"
Ninghan Gabbro,dolerite,2801.0,2792.0,dolerite,-1
Nob Well Intrusion,Serpentinized peridotite and metapyroxenite,3460.0,3427.0,"peridotite,pyroxenite","101,101"
Nooloo Formation,"Thinly bedded dolomite, limestone, shale, and sandstone",1000.0,635.0,"dolostone,limestone,mudstone,sandstone","101,101,101,101"
Noongal Gabbro,peridotite,2801.0,2792.0,peridotite,-1
Noonkanbah Formation,"Siltstone, shale, and sandstone; minor carbonate",286.0,272.3,"mudstone,mudstone,sandstone,carbonate","101,101,101,101"
Norie Group,banded_iron_formation,2825.0,2800.0,"basalt, schist, basaltoid, dolerite, banded_iron_formation",-1
Nornalup Zone gneissic unit,Layered quartz--feldspar--biotite(--hornblende--garnet) gneiss; protolith unknown,1800.0,1280.0,gneiss,101
Nornalup Zone metagranitic unit,Granitic gneiss interlayered with metagabbro; may include intrusions of Recherche and Esperance Supersuites,1809.0,1140.0,"acid_plutonic_rock, gneiss, gabbro, granitoid","101,101,52"
North Pole Monzogranite,Biotite monzogranite; equigranular to weakly porphyritic,3446.0,3446.0,monzogranite,101
North Shaw Tonalite,"Metamorphosed hornblende tonalite to diorite; equigranular, with local plagioclase phenocrysts",3468.0,3468.0,"tonalite,diorite,coal","101,101,67"
North Star Basalt,Mafic volcanic rocks; minor ultramafic rocks and chert; metamorphosed,3515.0,3490.0,"mafic,ultramafic_rock,chert","100,65,101"
North Whundo Intrusion,"Gabbro, leucogabbro, and dolerite; metamorphosed",2930.0,2924.0,"gabbro,dolerite,dolerite","101,73,101"
Northampton Inlier gneissic unit,Quartzofeldspathic gneiss,1150.0,1083.0,gneiss,101
Northampton Inlier granitic unit,Granitic rock,1068.0,989.0,granitoid,89
Northampton Inlier metamorphosed mafic intrusive unit,Metamorphosed gabbroic rock,1150.0,1083.0,gabbroid,89
Northampton Inlier metasedimentary unit,Paragneiss,1150.0,1083.0,"quartzite, gneiss, paragneiss",101
Northern Foreland mafic unit,"Metamorphosed mafic intrusive rock, undivided",2900.0,2660.0,"coarse_grained_plutonic_crystalline_igneous_rock, ultrabasic_volcanic_rock, ultramafic_rock, mafic, till",100
Northern Foreland metagranitic unit,Granitic gneiss; locally migmatitic; includes mafic layers and enclaves,3131.0,2500.0,"granite, granodiorite, monzogranite, syenogranite, mafic, granitoid, greenstone, gabbro, gneiss","101,101"
Northern Foreland unit,"Banded meta-iron formation, metachert, metasedimentary rocks and amphibolite",2900.0,2660.0,"quartzite, banded_iron_formation, chert, ultrabasic_volcanic_rock, sandstone, conglomerate, iron_sediment, amphibolite","81,101,67,101"
Numbana Monzogranite,Medium- to coarse-grained feldspar(--quartz) porphyritic monzogranite; massive to weakly foliated; local flow-aligned feldspar phenocrysts; local garnet-bearing pegmatite and granite dykes,2851.0,2831.0,"monzogranite,feldspathic_wacke,pegmatite,granite","101,58,101,100"
Oldham Sandstone,Silicified quartz sandstone; with local pebbly lenses,1338.0,1229.0,sandstone,101
Olive Queen Gabbro,"peridotite, pyroxenite",2793.0,2793.0,"peridotite, pyroxenite",-1
Opal Gabbro,"gabbro, gabbronorite, leucogabbro, dolerite",2735.0,2711.0,"gabbro, gabbronorite, leucogabbro, dolerite",-1
Opaline Well Intrusion,"Gabbro and dolerite; local dunite, peridotite, pyroxenite, and basaltic rock; metamorphosed",2954.0,2948.0,"gabbro,dolerite,bituminous_coal,peridotite,pyroxenite,basaltoid","101,101,53,101,101,89"
Orpheus Supersuite,"Gabbro, leucogabbro, serpentinized peridotite and dunite, pyroxenite, and minor anorthosite; metamorphosed",3023.0,3012.0,"pyroxenite, coarse_grained_plutonic_crystalline_igneous_rock, granodiorite, lamprophyre, monzogranite, monzodiorite, dolerite, peridotite, gabbro, anorthosite, dacite","101,73,101,80,101,101"
Osborne Formation,"Interbedded sandstone, siltstone, shale, and claystone; characteristically glauconitic",113.0,89.8,"sandstone,mudstone,mudstone,mudstone","101,101,101,101"
Oscar Range Group,"Sandstone, siltstone, shale, conglomerate, and altered mafic igneous rock",1000.0,541.0,"sandstone,mudstone,mudstone,conglomerate,mafic","101,101,101,101,100"
Otorowiri Formation,"Micaceous siltstone, shale, minor glauconitic sandstone",163.5,139.8,"mudstone,mudstone,sandstone","101,101,101"
Owens Gully Diorite,Metamorphosed quartz diorite; foliated to gneissic,3465.0,3462.0,"diorite,gneiss","101,86"
Padbury Group,"Sandstone, siltstone, mudstone, banded iron-formation, granular iron-formation, conglomerate, and dolostone",1983.0,1811.0,"sandstone,mudstone,mudstone,bituminous_coal,gravel,conglomerate,dolostone","101,101,101,71,75,101,101"
Paddy Market Formation,"Banded iron-formation, chert, siliciclastic sedimentary rocks, and local felsic volcanic rocks; metamorphosed",3228.0,3176.0,"bituminous_coal,chert,conglomerate,felsic","71,101,56,100"
Paleozoic siliciclastic units  Canning Basin,"Sandstone and siltstone, eastern Canning Basin",541.0,252.17,"sandstone,mudstone","101,101"
Palkapiti Formation,Undivided felsic volcanic and siliclastic sedimentary rocks; metamorphosed,2770.0,2769.0,"felsic,sedimentary_rock","100,57"
Panorama Formation,Felsic volcanic rock; local sedimentary rock; metamorphosed,3448.0,3424.0,"felsic,clastic_sedimentary_rock","100,60"
Panton Suite,Metamorphosed layered mafic--ultramafic intrusions,1856.0,1856.0,fine_grained_ultramafic_rock,62
Paperbark Supersuite,"Granite, microgranite, gabbro, layered mafic--ultramafic intrusions, and felsic volcanic rock",1864.0,1852.0,"granite,monzogranite,gabbro,fine_grained_ultramafic_rock,felsic","101,75,101,62,100"
Parda Formation,Mudstone; interbedded fine-grained sandstone,145.0,113.0,"mudstone,sandstone","101,101"
Pargee Sandstone,Sandstone; minor conglomerate,1760.0,1735.0,"sandstone,conglomerate","101,101"
Parmelia Group,Predominantly sandstone; most formations recognized only in subsurface,163.5,139.8,sandstone,101
Paterson Formation,"Conglomerate (including diamictite), sandstone, and siltstone; largely glacigene",323.2,290.1,"conglomerate,sandstone,mudstone,glacial_deposit","101,101,101,58"
Peak Hill Schist,"Quartz muscovite schist, mylonitic schist, and phyllonite",3131.0,1600.0,"schist,schist,mylonite","101,101,101"
Pear Creek Formation,"Conglomerate and other siliciclastic rocks interlayered with basalt; clasts range from boulders to pebbles; dominantly basaltic clasts; granitic, felsic volcanic, and chert clasts present locally",2735.0,2713.0,"conglomerate,siliciclastic_sediment,basalt,gravel,gravel,basaltic_andesite,granitoid,felsic,chert","101,63,101,59,92,62,82,100,100"
Peawah Granodiorite,Hornblende--biotite granodiorite and tonalite; metamorphosed,2948.0,2948.0,"granodiorite,tonalite","101,101"
Pentecost Sandstone,"Quartz sandstone, pebbly sandstone, siltstone, and claystone",1835.0,1740.0,"sandstone,sandstone,mudstone,mudstone","101,101,101,101"
Peter Well Granodiorite,granodiorite,2759.0,2746.0,granodiorite,-1
Petermarer Monzogranite,Biotite monzogranite; seriate to strongly K-feldspar porphyritic; weakly metamorphosed,2940.0,2940.0,monzogranite,101
Petroglyph Gneiss,Tonalitic orthogneiss with sheeted pegmatitic granitic veins and local white leucogranite,3428.0,3420.0,"orthogneiss,vein,syenogranite","101,101,60"
Pigeon Rocks Monzogranite,Biotite monzogranite; equigranular; metamorphosed,2729.0,2729.0,monzogranite,101
Pilbara Craton granitic unit,Undivided granitic rock; metamorphosed,3650.0,2830.0,granitoid,69
Pilbara Craton greenstones,Amphibolite with abundant granitic dykes and veins; local interleaved metamorphosed ultramafic rocks,3530.0,2930.0,"quartzite, coarse_grained_plutonic_crystalline_igneous_rock, schist, albitized_granite, ultramafic_rock, felsic, sandstone, mafic, arenite, peridotite, conglomerate, iron_sediment, gabbro, amphibolite, vein","101,54,101,54"
Pilbara Creek Monzogranite,Biotite monzogranite and syenogranite; leucocratic; weakly foliated to massive; metamorphosed,2945.0,2919.0,"monzogranite,syenogranite,leucitic_rock","101,101,74"
Pilbara Supergroup,Amphibolite; metamorphosed mafic volcanic and intrusive rocks; locally schistose,3515.0,3235.0,"coarse_grained_plutonic_crystalline_igneous_rock, schist, ultramafic_rock, mafic, amphibolite, vein","101,100,100"
Pilbara craton greenstones,"Foliated interlayered psammite and pelite, typically chloritic; includes some chlorite--actinolite schist and phyllite",3530.0,2930.0,"sandstone,mudstone,chloritolite,schist,phyllite","86,101,76,101,101"
Pincunah Monzogranite,"Porphyritic biotite(--hornblende) monzogranite; feldspar and quartz phenocrysts, commonly aligned; metamorphosed",2945.0,2919.0,"monzogranite,metasomatic_rock,vein","101,59,101"
Pindilya Formation,"Poorly sorted sandstone, commonly lithic, and granule to pebble conglomerate; generally very silicified",23.03,5.333,"sandstone,gravel,conglomerate,mud","101,93,101,57"
Pinjian Chert Breccia,Chert breccia and poorly bedded chert; overlies Carawine Dolomite,2630.0,1317.0,"breccia,chert,dolostone","101,101,101"
Pinnacle Hill Gneiss,Banded metatonalite and metagranodiorite gneiss; xenoliths of amphibolite and leucocratic granitic gneiss,3130.0,3114.0,"tonalite,gneiss,amphibolite,gneiss","101,101,101,101"
Pirgan Monzogranite,monzogranite,2697.0,2665.0,monzogranite,-1
Pitjantjatjara Supersuite,Metagranite and gneiss,1219.0,1148.0,"monzogranite, mylonite, granitoid, granite, gneiss","101,101"
Pitjantjatjara Supersuite 1,Metagranite and gneiss,1219.0,1195.0,"granite,gneiss","101,101"
Pitjantjatjara Supersuite 2,Metagranite and gneiss,1188.0,1148.0,"granodiorite, mylonite, granitoid, gabbro, granite, gneiss","101,101"
Point Salvation Monzogranite,Biotite monzogranite; fine- to coarse-grained; seriate to K-feldspar-porphyritic; abundant leucogranitic layers and schlieren; metamorphosed,2665.0,2663.0,"monzogranite,leucitic_rock,clinker","101,57,62"
Polelle Group,"mafic, ultramafic, actinolite, tremolite",2800.0,2735.0,"andesite, ultramafic, basalt, actinolite, schist, felsic, mafic, tremolite, dacite",-1
Pollock Hills Formation,"Metadacite, metarhyodacite, and volcaniclastic metasedimentary rock",1677.0,1677.0,"dacite,rhyolite,volcaniclastic_breccia","101,101,62"
Poocatche Monzogranite,Muscovite--biotite monzogranite; seriate to porphyritic; massive to weakly foliated; locally abundant pegmatite,2851.0,2831.0,"monzogranite,pegmatite","101,101"
Poole Sandstone,Quartz sandstone and minor siltstone,292.0,287.0,"sandstone,mudstone","101,101"
Pooranoo Metamorphics,"Pelitic and psammitic schist, quartz metasandstone, feldspathic metasandstone and metaconglomerate, and phyllite",1758.0,1682.0,"mudstone,schist,sandstone,sandstone,conglomerate,phyllite","77,101,101,101,101,100"
Portree Suite,Granitic rock; metamorphosed,2946.0,2946.0,granitoid,89
Pottoyu Granite Suite,"Fine- to coarse-grained, foliated, biotite metagranite",1192.0,1148.0,granite,101
Powdar Monzogranite,Leucocratic monzogranite; locally coarsely porphyritic; metamorphosed,2935.0,2935.0,monzogranite,101
Premier Coal Measures,"Interbedded poorly sorted feldspathic sandstone, carbonaceous shale, coal; pebble conglomerate",290.1,272.3,"sandstone,mudstone,coal,conglomerate","101,101,101,101"
Prenti Dolerite,Dolerite sill; fine- to medium-grained dolerite,1066.0,1066.0,"dolerite,dolerite","100,101"
Prices Creek Group,"Siltstone, shale, limestone, and dolomitic sandstone",485.4,458.4,"mudstone,mudstone,limestone,sandstone","101,101,101,101"
Proterozoic mafic intrusive unit,Undivided mafic intrusive rock,2500.0,541.0,"dolerite, mud, gabbro, coarse_grained_plutonic_crystalline_igneous_rock",100
Proterozoic siliciclastic rocks,"Unassigned siliciclastic rocks; sandstone, conglomerate, siltstone and microbial laminate; commonly silicified and brecciated",2500.0,541.0,"siliciclastic_sediment,sandstone,conglomerate,mudstone,anthracite,breccia","63,101,101,101,55,82"
Punkerri Sandstone,"Sandstone, reddish brown, flaggy, micaceous to feldspathic, and lesser siltstone",635.0,541.0,"sandstone,micaite,feldspathic_wacke,mudstone","101,62,79,101"
Puntapunta Formation,"Dolarenite interbedded with dolomite, siltstone, and shale; thinly bedded, fine to medium grained",950.0,630.0,"arenite,dolostone,mudstone,mudstone,china_clay","82,101,101,101,62"
Pussy Cat Group,"Matrix- to clast-supported conglomerate; mainly basalt cobbles, with minor rhyolite and granite; interbedded with medium- to fine-grained siliciclastic rocks",1077.0,1047.0,"rhyolite, basalt, cracks, coarse_grained_plutonic_crystalline_igneous_rock, diamictite, micaite, felsic, dolerite, mafic, siliciclastic_sediment, ironstone/phosphorite, conglomerate, granite, evaporite, vein","101,100,101,101,63"
Pyradie Formation,Pyroxene spinifex-textured basaltic flows and pillow lava with mafic volcaniclastic rock; minor chert and local komatiite; metamorphosed,2730.0,2718.0,"basaltoid,alluvium,mafic,chert,kalsilitic_rock","62,57,100,101,101"
Pyramid Hill Formation,"Banded iron-formation, chert, and shale; metamorphosed",3228.0,3176.0,"bituminous_coal,chert,mudstone","71,101,101"
Quadrio Formation and Cornelia Sandstone,"Shale, siltstone, chert, and minor sandstone; quartz sandstone to quartzite, and minor siltstone",1845.0,1070.0,"mudstone,mudstone,chert,sandstone,sandstone,quartzite,mudstone","101,101,101,101,101,000,000"
Quinns Basalt Member,maficvolcanic,2825.0,2800.0,maficvolcanic,-1
Racecourse Tonalite,granite,2760.0,2760.0,"sedimentary_rock, granite",-1
Radio Hill Intrusion,"Gabbro, pyroxenite, and minor peridotite; metamorphosed",2929.0,2929.0,"gabbro,pyroxenite,peridotite","101,101,101"
Railway Supersuite,"Metatonalite, metagranodiorite, and metamonzogranite; gneissic and with greenstone xenoliths; local ultramafic--mafic intrusive rocks",3130.0,3093.0,"tonalite,granodiorite,monzogranite,gneiss,greenstone,coarse_grained_plutonic_crystalline_igneous_rock","101,101,101,86,100,100"
Rapide Granite,"Garnet-bearing biotite metagranite, mostly porphyritic with tabular feldspars; weak to strong foliation; may include banded gneiss",1779.0,1767.0,"granite,feldspathic_arenite,gneiss","101,57,101"
Ravelstone Formation,Lithic wacke and siltstone; chloritic fragments; graded beds,2014.0,1920.0,"wacke,mudstone,chloritolite","101,101,60"
Rea Dacite,Rhyolite and dacite; quartz--feldspar porphyritic; chiefly intrusive; metamorphosed,3023.0,3014.0,"rhyolite,dacite,vein,coarse_grained_plutonic_crystalline_igneous_rock","101,101,100,101"
Recherche Supersuite,Granitic gneiss and metagranite; heterogeneous; locally with pods or lenses of metagabbro; may include intrusions of Esperance Supersuite and remnants of Paleoproterozoic basement,1330.0,1276.0,"sedimentary_rock, granitoid, gabbro, granite, gneiss, diorite","101,101,101,50,50"
Red Hill Volcanics,"Felsic volcaniclastic rocks, intrusive porphyritic dacite and dacitic to rhyolitic lava; includes debris-flow, turbidite and fluvial facies; metamorphosed",3009.0,2991.0,"felsic,dacite,dacitoid,rhyolitoid,turbidites,alluvium","100,101,80,67,95,64"
Red Rock Formation,"Lithic quartz sandstone, pink feldspathic quartz sandstone, pebbly sandstone, conglomerate, siltstone, mudstone, basalt flows, and basaltic breccia",1827.0,1784.0,"sandstone,sandstone,sandstone,conglomerate,mudstone,mudstone,basalt,breccia","101,101,101,101,101,000,000,000"
Redcliff Pound Group,"Quartz sandstone; minor conglomerate, siltstone, shale, carbonate and glauconitic sandstone",650.0,510.0,"sandstone,conglomerate,mudstone,mudstone,carbonate,sandstone","101,101,101,101,101,000"
Regal Formation,"Massive and pillowed basalt, with local komatiitic peridotite; minor chert; metamorphosed",3200.0,3160.0,"basalt,peridotite,chert","101,101,101"
Revolver Creek Formation,"Quartz sandstone, lithic quartz sandstone, feldspathic quartz sandstone, and siltstone and mudstone; dolerite, basalt, and basaltic breccia; minor conglomerate",2500.0,1600.0,"sandstone,sandstone,sandstone,mudstone,mudstone,dolerite,basalt,breccia,conglomerate","101,101,101,101,101,000,000,000,000"
Robinson Range Formation,"Ferruginous shale, siltstone, banded iron-formation, and chert",1983.0,1811.0,"mudstone,mudstone,bituminous_coal,chert","101,101,71,101"
Rocklea Inlier greenstones,"Basaltic and andesitic flows, and associated volcaniclastic rocks; metamorphosed",3530.0,3225.0,"basalt, chert, andesitoid, iron_sediment, volcaniclastic_breccia, sandstone, conglomerate, mudstone, dolomicrite","86,76,61"
Rocklea Inlier metagranitic unit,"Foliated, gneissic, or migmatitic metagranitic rock",3225.0,3221.0,"gneiss,granitoid","86,63"
Rocky Bore Granite,Porphyritic monzogranite with tabular feldspar phenocrysts; medium grained; metamorphosed,2615.0,2615.0,"monzogranite,feldspathic_arenite","101,57"
Roebourne Group,Basalt and komatiite; minor chert; metamorphosed,3280.0,3270.0,"basalt,kalsilitic_rock,chert","101,101,101"
Rooney and Springo Inliers granitic unit,Granite to granodiorite; metamorphosed and variably foliated,3530.0,2895.0,"granite,granodiorite","101,101"
Rooney and Springo Inliers greenstones,"Sedimentary rock, undivided; includes oligomicitic and polymictic conglomerate, pebbly sandstone, mudstone, siltstone, and chert; metamorphosed",3530.0,2930.0,"iron_sediment,dolomicrite,conglomerate,sandstone,mudstone,mudstone,chert","67,70,101,101,101,101,101"
Rothsay Suite,granodiorite,2763.0,2742.0,granodiorite,-1
Roundtop Komatiite,Komatiite with local olivine spinifex texture; minor cumulate and talc--tremolite schist; metamorphosed,2920.0,2718.0,"kalsilitic_rock,schist","101,101"
Ruby Plains Group,"Sandstone, dolomite, stromatolitic dolomite, dolomitic mudstone, mudstone, and siltstone",1000.0,720.0,"sandstone,dolostone,dolostone,mudstone,mudstone,mudstone","101,101,101,101,101,000"
Ruins Dolerite,Coarse- to fine-grained metadolerite; equigranular to porphyritic,1872.0,1861.0,dolerite,101
Rushall Slate,Metamorphosed shale and siltstone; minor sandstone; graded beds; locally well developed slaty cleavage,2955.0,2943.0,"mudstone,mudstone,sandstone","101,101,101"
Ryansville Formation,"pelite, psammite, felsic volcaniclastic",2735.0,2700.0,"chert, psammite, felsicvolcaniclastic, sandstone, conglomerate, clastic_sediment, mudstone, pelite",-1
Salisbury Gneiss,Pelitic gneiss and mafic granulite; porphyritic granitic gneiss and metagabbro,1320.0,1214.0,"gneiss,granulite,gneiss,gabbro","101,101,101,101"
Sally Downs Supersuite,Undivided granite,1832.0,1808.0,"gabbro, granite, fine_grained_ultramafic_rock",101
Sally Malay Suite,Layered mafic--ultramafic intrusions,1846.0,1844.0,fine_grained_ultramafic_rock,62
Salt Creek Gabbro,Gabbro or gabbronorite; locally intrusive into metasedimentary rocks,1300.0,1000.0,"gabbro,gabbroid,coarse_grained_plutonic_crystalline_igneous_rock,iron_sediment","101,101,101,67"
Samuel Formation and Bejah Claystone,"Siltstone, sandstone and claystone; carbonaceous, locally glauconitic; radiolarian siltstone in Bejah Claystone",125.0,100.5,"mudstone,sandstone,mudstone,carbonate,glaucophanite,mudstone","101,101,101,76,75,101"
San Sou Monzogranite,Medium- to fine-grained biotite monzogranite; scattered fine-grained mafic inclusions,1788.0,1788.0,"monzogranite,mafic","101,100"
Satirist Monzogranite,Leucocratic monzogranite and syenogranite; metamorphosed,2938.0,2931.0,"monzogranite,syenogranite","101,101"
Scamp Formation,"Rhyolite; possibly lava flows and pyroclastic rocks, but may include subvolcanic intrusions; typically shows a fine- to coarse-grained granofelsic texture, indicating weak to moderate recrystallization",1077.0,1047.0,"rhyolite,fluvial_deposit,pyroclastic_rock,andesite,ash,granofels","101,53,91,60,57,64"
Scotty Creek Formation,Arkosic sandstone with subordinate conglomerate; metamorphosed,2662.0,2640.0,"sandstone,conglomerate","101,101"
Scuddles Member,"dacite, rhyodacite, felsic volcaniclastic",2958.0,2958.0,"dacite, rhyodacite, felsic volcaniclastic",-1
Seeligson Monzogranite,monzogranite,2626.0,2626.0,monzogranite,-1
Shay Intrusion,"Gabbro, norite, and pyroxenite; metamorphosed",2954.0,2948.0,"gabbro,gabbroid,pyroxenite","101,101,101"
Sherlock Intrusion,"Gabbro, and minor pyroxenite and granophyre; metamorphosed",2950.0,2948.0,"gabbro,pyroxenite,lamprophyre","101,101,67"
Shingle Creek Group,"Basalt and mafic volcaniclastic rock; sandstone, conglomerate, pebbly sandstone, and siltstone; intruded by Balgara Dolerite sills",2208.0,2031.0,"basalt,mafic,sandstone,conglomerate,sandstone,mudstone,dolerite","101,100,101,101,101,000,000"
Siffleetes Granodiorite,Metamorphosed biotite--hornblende granodiorite; locally common amphibolite and diorite xenoliths; moderately to strongly foliated,3274.0,3224.0,"granodiorite,amphibolite,diorite","101,101,100"
Singleton Formation,"basalt, komatiitic basalt",2825.0,2800.0,"basalt, komatiitic basalt",-1
Sir Frederick Conglomerate,Cobble to boulder conglomerate; lesser interbedded sandstone,635.0,510.0,"gravel,conglomerate,sandstone","92,101,101"
Sisters Supersuite,Granitic and ultramafic to mafic intrusive rocks; metamorphosed,2954.0,2919.0,"coarse_grained_plutonic_crystalline_igneous_rock, monzogranite, ultramafic_rock, granitoid, leucitic_rock, vein","82,80,100"
